,Name,Short Des,Price,Discount
66,bluemaker,casual for men (blue 06) Sneakers For Men,₹499,50% off
67,PUMA,Rebound Street v2 L Sneakers For Men,"₹2,749",45% off
68,Creer,Sneakers For Men,₹398,60% off
69,WOODLAND,Sneakers For Men,"₹2,771",25% off
70,PUMA,Pacer Laser IDP Sneakers For Men,"₹2,069",54% off
71,BRUTON,Combo Pack of 2 Lattest Collection Stylish Casual Loafe...,₹499,80% off
72,PROVOGUE,Sneakers For Men,"₹1,999",no discount
73,Kraasa,Shark-41 Sneakers For Men,₹499,50% off
74,India hub,Fashionable sneaker casual shoes Sneakers For Men,₹445,77% off
75,BRUTON,Combo Pack Of 3 Latest Casual Shoes Sneakers For Men,₹499,83% off
76,JACK & JONES,JFWBENNY KNIT SLIP ON Sneakers For Men,"₹1,880",37% off
77,Arohi,Sneakers For Men,₹459,54% off
78,NAUTICA,Sneakers For Men,"₹5,299",no discount
79,BRUTON,Combo Pack of 2 Casual Sneakers For Men,₹499,80% off
80,Nobelite,Sneakers For Men,₹579,71% off
81,ASTEROID,Original Luxury Branded Fashionable Men's Casual Walkin...,₹499,50% off
82,RODDICK SHOES,Fashion Outdoor Canvas Casual Light Weight Lace-up Even...,₹474,52% off
83,BIRDE,Combo Pack of 2 Casual Shoes Sneakers For Men,₹630,57% off
84,PUMA,PUMA X 1DER KL RAHUL Sneakers For Men,"₹2,799",30% off
85,Chevit,Super Stylish & Trendy Combo Pack of 02 Pairs Sneakers ...,₹631,60% off
86,PUMA,ST Activate V2 IDP Sneakers For Men,"₹1,609",54% off
87,PUMA,Corode IDP Sneakers For Men,"₹1,599",60% off
88,India hub,Luxury Fashionable casual sneaker shoes Sneakers For Me...,₹445,77% off
89,FILA,GESAR Sneakers For Men,"₹2,098",no discount
90,NIKE,Court Royale 2 Low Sneakers For Men,"₹3,472",13% off
91,Khadim's,Sneakers For Men,"₹1,299",no discount
92,PUMA,Rigel IDP Sneakers For Men,"₹1,289",53% off
93,Kraasa,"Casuals, Canvas, Partywear Sneakers For Men",₹499,50% off
94,Chevit,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Me...,₹299,40% off
95,CALCADOS,Relaxed Attractive Combo pack of 4 Sneakers For Men,₹689,65% off
96,NAUTICA,Sneakers For Men,"₹5,299",no discount
97,HOC,Luxury Fashionable Casual Sneakers shoes For Men And Bo...,₹419,79% off
98,PEXLO,Combo Pack of 3 Casual Shoes Sneakers For Men,₹709,52% off
99,PEHANOSA,Sneakers For Men,₹699,56% off
